chr	start	end	value
chr1A	4095991	4095992	0
chr1A	10133030	10133031	0
chr1A	10159196	10159197	0.029411765
chr1A	10211151	10211152	0.007352941
chr1A	13673457	13673458	0.007352941
chr1A	14109006	14109007	0.022501569
chr1A	41741955	41741956	0.011259739
chr1A	45635068	45635069	-0.038740261
chr1A	57204936	57204937	-0.115622896
chr1A	64836323	64836324	-0.201707552
chr1A	74103229	74103230	-0.236772487
chr1A	80298098	80298099	-0.147631448
chr1A	82527044	82527045	-0.111513692
chr1A	84729627	84729628	-0.093656549
chr1A	89406172	89406173	-0.081246737
chr1A	102367178	102367179	-0.140824283
chr1A	103321712	103321713	-0.081613757
chr1A	106229819	106229820	0.042289752
chr1A	114060707	114060708	0.087131022
chr1A	137234644	137234645	0.074331662
chr1A	173961471	173961472	-0.034088013
chr1A	218522949	218522950	-0.095110941
chr1A	247344218	247344219	-0.071333206
chr1A	259065126	259065127	-0.17808642
chr1A	268934360	268934361	0.0125
chr1A	269581470	269581471	-0.035119048
chr1A	286007123	286007124	-0.074553571
chr1A	294040918	294040919	0.015029762
chr1A	311367035	311367036	-0.063095238
chr1A	320154863	320154864	-0.093557423
chr1A	337150757	337150758	-0.314495798
chr1A	338589694	338589695	-0.119642857
chr1A	338595330	338595331	-0.270238095
chr1A	362865669	362865670	-0.261507937
chr1A	375467640	375467641	-0.636507937
chr1A	385354326	385354327	-0.779365079
chr1A	390639130	390639131	-0.70952381
chr1A	427395003	427395004	-0.63125
chr1A	430180246	430180247	-0.437797619
chr1A	446543353	446543354	-0.229464286
chr1A	455819372	455819373	0.145535714
chr1A	458217053	458217054	0.089285714
chr1A	460674795	460674796	0.052083333
chr1A	463930722	463930723	-0.07173583
chr1A	465454315	465454316	-0.365058564
chr1A	474700633	474700634	-0.383499953
chr1A	477738932	477738933	-0.219462439
chr1A	485355783	485355784	-0.213237254
chr1A	486342711	486342712	-0.225685773
chr1A	493510435	493510436	-0.232816518
chr1A	494718813	494718814	-0.177171312
chr1A	511405101	511405102	-0.1281008
chr1A	513662169	513662170	-0.099796151
chr1A	516563723	516563724	-0.0262189
chr1A	517105791	517105792	0.041801933
chr1A	518981436	518981437	-0.034090924
chr1A	538805151	538805152	-0.222117794
chr1A	539757057	539757058	-0.37797619
chr1A	540403840	540403841	-0.463446276
chr1A	541996126	541996127	-0.402018668
chr1A	542002914	542002915	-0.256185335
chr1A	544177108	544177109	-0.217494859
chr1A	545417493	545417494	-0.23931644
chr1A	545524500	545524501	-0.294478383
chr1A	547017499	547017500	-0.251914588
chr1A	547277436	547277437	-0.197342594
chr1A	549314234	549314235	-0.182149693
chr1A	552164883	552164884	-0.175533837
chr1A	564749208	564749209	-0.113912235
chr1A	566481311	566481312	-0.083177374
chr1A	574475119	574475120	-0.290828924
chr1A	583660006	583660007	-0.23151455
chr1A	589028206	589028207	-0.04077381
chr1A	592324451	592324452	0.004464286
chr1A	592833383	592833384	0.32390873
chr1B	173239	173240	0.337301587
chr1B	2356819	2356820	0.146349206
chr1B	3047593	3047594	0.093769841
chr1B	4111309	4111310	-0.01734127
chr1B	4111843	4111844	-0.039563492
chr1B	5160037	5160038	-0.015277778
chr1B	8559126	8559127	-0.005555556
chr1B	10060661	10060662	-0.005555556
chr1B	10097986	10097987	-0.060635965
chr1B	11407728	11407729	-0.060635965
chr1B	12388143	12388144	-0.077302632
chr1B	15292520	15292521	0.064162422
chr1B	16215072	16215073	0.17358523
chr1B	17250926	17250927	0.17358523
chr1B	17255328	17255329	0.17358523
chr1B	17891669	17891670	0.077738423
chr1B	30882589	30882590	-0.072509004
chr1B	38832166	38832167	0.047108221
chr1B	47626690	47626691	0.028389155
chr1B	49934547	49934548	0.328389155
chr1B	70191832	70191833	0.220893142
chr1B	90710830	90710831	0.168686869
chr1B	115286266	115286267	0.106186869
chr1B	119767817	119767818	0.077114899
chr1B	135943520	135943521	0.15552399
chr1B	170575830	170575831	0.228484363
chr1B	183483528	183483529	0.193216506
chr1B	185223081	185223082	0.404075092
chr1B	238673665	238673666	0.353113553
chr1B	263946775	263946776	0.288400488
chr1B	265647538	265647539	0.078566961
chr1B	268286871	268286872	-0.010730697
chr1B	277440451	277440452	-0.021684387
chr1B	314743931	314743932	-0.034952005
chr1B	316761509	316761510	0.105627706
chr1B	330503636	330503637	0.165291005
chr1B	331417739	331417740	0.141481481
chr1B	334240541	334240542	0.041481481
chr1B	334317743	334317744	0.159035088
chr1B	335973382	335973383	0.112716603
chr1B	340372846	340372847	0.112716603
chr1B	340464665	340464666	0.20438327
chr1B	342122889	342122890	0.076459293
chr1B	344002410	344002411	0.11547619
chr1B	350794922	350794923	0.207900433
chr1B	359203196	359203197	0.108387446
chr1B	361012796	361012797	0.108387446
chr1B	364949818	364949819	0.084577922
chr1B	378409825	378409826	-0.00784632
chr1B	385172732	385172733	0
chr1B	388014508	388014509	0.123376623
chr1B	389981501	389981502	0.198934837
chr1B	394638971	394638972	0.03226817
chr1B	397431612	397431613	0.005952381
chr1B	403976784	403976785	-0.117424242
chr1B	409672717	409672718	-0.167982456
chr1B	413204553	413204554	-0.001315789
chr1B	420361177	420361178	0.068918919
chr1B	421092956	421092957	0.168183625
chr1B	421673139	421673140	0.214612196
chr1B	434089027	434089028	0.29794553
chr1B	444687965	444687966	0.299782579
chr1B	476342459	476342460	0.226158899
chr1B	480838799	480838800	0.321396994
chr1B	484464881	484464882	0.256103406
chr1B	491250685	491250686	0.302452701
chr1B	492307142	492307143	0.24167654
chr1B	505629055	505629056	0.075009873
chr1B	509901369	509901370	0.056970128
chr1B	516951525	516951526	-0.007961222
chr1B	517907052	517907053	0.10205314
chr1B	518800823	518800824	0.285386473
chr1B	520361114	520361115	0.285386473
chr1B	543580345	543580346	0.305831608
chr1B	548541241	548541242	0.057682332
chr1B	553153379	553153380	0.241015666
chr1B	563025710	563025711	0.346078431
chr1B	563305711	563305712	0.167232278
chr1B	565751748	565751749	-0.055178482
chr1B	592171959	592171960	-0.013966499
chr1B	604553031	604553032	-0.188443518
chr1B	616131697	616131698	0.001433026
chr1B	621272338	621272339	-0.36845679
chr1B	621580470	621580471	-0.291075838
chr1B	623731305	623731306	-0.464285714
chr1B	631718052	631718053	-0.25297619
chr1B	636679891	636679892	0.087193802
chr1B	638035689	638035690	0.250180815
chr1B	645141955	645141956	0.393633196
chr1B	645888065	645888066	0.352503897
chr1B	664285611	664285612	0.262333905
chr1B	670385071	670385072	0.087066525
chr1B	673642276	673642277	0.106114144
chr1B	674499861	674499862	0.050993202
chr1B	676203761	676203762	0.083979313
chr1B	676271976	676271977	0.097406064
chr1B	681552915	681552916	0.075183842
chr1B	683411462	683411463	0.076195988
chr1B	683485115	683485116	0.040578298
chr1B	689221614	689221615	-0.003508772
chr2A	4169546	4169547	0.070565302
chr2A	4313036	4313037	0.102693603
chr2A	12327213	12327214	-0.122979798
chr2A	14811691	14811692	-0.145479798
chr2A	15528878	15528879	-0.221868687
chr2A	24174869	24174870	-0.243333333
chr2A	30458116	30458117	0.135238095
chr2A	31785613	31785614	0.135416667
chr2A	32497290	32497291	0.215073529
chr2A	37083818	37083819	0.225490196
chr2A	55554917	55554918	-0.061414566
chr2A	58867945	58867946	-0.039093137
chr2A	62369471	62369472	-0.097916667
chr2A	63691154	63691155	-0.170502646
chr2A	65520629	65520630	-0.116393327
chr2A	68879221	68879222	-0.116393327
chr2A	70976440	70976441	-0.116393327
chr2A	73170606	73170607	-0.043734505
chr2A	76344773	76344774	0.093822844
chr2A	77798349	77798350	0.07298951
chr2A	86443155	86443156	0.059731935
chr2A	88287244	88287245	-0.034173243
chr2A	102031835	102031836	-0.111538406
chr2A	103985057	103985058	-0.142292374
chr2A	105408063	105408064	-0.140518539
chr2A	105630325	105630326	-0.101220519
chr2A	118446189	118446190	-0.099071805
chr2A	122009062	122009063	0.031086925
chr2A	130724366	130724367	0.00365557
